personnel,rb_count,te_count,wr_count,qb_count,formation_width,backfield_depth,is_empty_backfield,is_heavy_formation,trips_left,trips_right,bunch_formation,compressed_set,defense_count,box_defenders,high_safety,formation_hash,formation_center_x,formation_center_y,formation_x_spread,formation_y_spread,formation_bbox_width,formation_bbox_height,oline_center_x,oline_center_y,oline_spread_x,oline_spread_y,wide_receiver_center_x,wide_receiver_center_y,wide_receiver_spread_x,wide_receiver_spread_y,running_back_center_x,running_back_center_y,running_back_spread_x,running_back_spread_y,defense_center_x,defense_center_y,defense_spread_x,defense_spread_y,avg_wr_spacing,min_wr_spacing,max_wr_spacing,qb_rb_min_distance,qb_rb_avg_distance,oline_avg_spacing,oline_spacing_consistency,qb_min_def_distance,qb_avg_def_distance,running_back_min_def_distance,running_back_avg_def_distance,wide_receiver_min_def_distance,wide_receiver_avg_def_distance,formation_symmetry,oline_alignment_quality,depth_layers,depth_variance,horizontal_leverage,vertical_leverage,avg_coverage_gap,max_coverage_gap,pressure_angle_spread,avg_pressure_angle,player_density,filename,dataset_split,source_folder,play_type
10,1,0,3,0,202.14816,18.694793701171875,False,False,False,False,False,False,22,3,True,rwooww,403.99368,302.87378,66.49082,105.85349,202.14816,300.17566,405.4890441894531,351.0227966308594,1.890472412109375,14.2275390625,444.318603515625,248.4931640625,45.712249755859375,127.6041030883789,280.0282287597656,369.71759033203125,0.0,0.0,402.37845,341.93173,86.25625,132.54694,211.9020538330078,75.49848937988281,317.0864562988281,0.0,0.0,3.78094482421875,1.0,0.0,0.0,0.9334397315979004,0.9334397315979004,0.5287086367607117,1.6091232299804688,1.0,0.0,5,11204.962,3.110595703125,-9.091064453125,17.498777,76.59256,0.0,0.0,0.00015177098,58073_003389_Sideline_frame51_jpg.rf.2cfb4642415625f23cf051632716a23d.jpg,train,original_train,unknown
10,1,0,7,2,329.8071,32.26220703125,False,False,True,True,True,False,13,2,True,wwqooowwooooqoowrww,293.28833,402.20822,87.6701,108.44678,329.8071,479.92322,259.8988037109375,377.366455078125,10.047259330749512,41.770240783691406,333.3782043457031,426.20111083984375,126.83415222167969,164.17152404785156,384.373291015625,409.628662109375,0.0,0.0,358.59323,350.49664,128.68423,126.81218,276.753173828125,7.865243434906006,582.3220825195312,138.65745544433594,138.65745544433594,3.6575374603271484,0.2101721167564392,60.26408004760742,68.66661071777344,1.8111201524734497,1.8111201524734497,0.9885120987892151,47.9968147277832,0.75,0.023380743339657784,16,11760.703,98.69442749023438,-26.86981201171875,43.161358,167.81897,0.7798338532447815,-0.9670072793960571,0.00012873604,Capture_PNG_jpg.rf.4a17b15578b25bf93736afae608616e6.jpg,train,original_train,unknown
20,2,0,8,2,381.31552,10.5418701171875,False,False,True,True,True,False,15,4,True,qrqrwoowwooowowwww,196.4668,288.6135,87.76405,93.38774,381.31552,353.2574,182.8179168701172,312.6304931640625,19.35598373413086,29.580106735229492,250.09521484375,261.6001892089844,100.98333740234375,132.30735778808594,110.62288665771484,306.6190185546875,11.125740051269531,16.553329467773438,279.36227,273.11124,88.88866,100.857956,225.0659942626953,39.93680191040039,383.8948974609375,0.4741775095462799,20.055463790893555,12.22143268585205,0.11391638964414597,63.43596267700195,67.5916519165039,60.62788391113281,66.08535766601562,0.20319826900959015,12.477770805358887,1.0,0.03270099684596062,13,8721.2705,96.54435729980469,-39.519256591796875,23.406538,104.698456,0.681882381439209,0.025730768218636513,0.00024380803,Capture78_PNG_jpg.rf.9c4000aec94e141631494b7fda42c510.jpg,train,original_train,unknown
40,4,0,6,2,245.00336,13.08831787109375,False,False,False,True,True,False,16,3,True,rqwwoooowwrqrwwr,505.3676,344.7918,76.283844,76.72128,245.00336,260.33844,479.4891052246094,330.8790283203125,11.308272361755371,24.853731155395508,525.7429809570312,376.334228515625,58.9429817199707,115.85620880126953,522.3388061523438,322.775146484375,98.27339172363281,16.37034797668457,389.14294,346.3364,128.80428,89.711914,157.3516082763672,7.2423529624938965,292.0491943359375,0.6336305737495422,66.89579772949219,9.036102294921875,0.08522122353315353,1.3386343717575073,44.041786193847656,1.4227930307388306,65.25890350341797,1.462952971458435,16.671390533447266,0.6,0.03867913782596588,10,5886.155,90.34616088867188,15.457366943359375,30.961359,219.93988,2.480630874633789,0.8861192464828491,0.0002210323,Capture179_PNG_jpg.rf.117be4fe0d2aedbd88abd062ea20c68c.jpg,train,original_train,unknown
00,0,0,3,0,132.98404,0.0,True,False,True,False,False,True,17,5,True,woowwoooo,431.02405,278.75662,39.020626,78.237,132.98404,285.19858,445.0830383300781,290.2673645019531,10.277739524841309,31.60033416748047,402.906005859375,255.7351837158203,56.308353424072266,124.78357696533203,0.0,0.0,0.0,0.0,398.80197,305.83856,82.00614,101.20489,226.8740692138672,130.05380249023438,285.2188720703125,0.0,0.0,6.242993354797363,0.15975794196128845,0.0,0.0,0.0,0.0,1.1386725902557373,10.289985656738281,0.0,0.030674532055854797,8,6121.028,46.28106689453125,15.571197509765625,19.717548,68.47562,0.0,0.0,0.00021958412,Capture121_PNG_jpg.rf.3d57a4095fec2c20200d442e6992cb1c.jpg,train,original_train,unknown
20,2,0,3,1,158.39922,-24.366241455078125,False,False,False,True,False,True,17,4,True,rrqoooooowww,224.94823,358.39413,49.15062,69.7296,158.39922,232.19397,231.7549591064453,335.3837585449219,10.863213539123535,23.875539779663086,283.5592956542969,457.2437438964844,26.013334274291992,68.35787963867188,151.70689392089844,307.0406188964844,2.461090087890625,3.976898193359375,271.09985,360.89935,85.84419,135.40135,121.81304931640625,82.01083374023438,166.75265502929688,0.7407334446907043,5.394867420196533,6.366693019866943,0.21971242129802704,86.38116455078125,86.38116455078125,82.82067108154297,84.78547668457031,0.6362847685813904,1.6300959587097168,0.8,0.0402001328766346,7,4862.2173,39.34489440917969,25.515594482421875,18.769009,32.737183,0.8758552670478821,0.4288831353187561,0.00019659229,Capture11_PNG_jpg.rf.f492dd98a1aa24f4309b46c646353641.jpg,train,original_train,unknown
30,3,0,6,2,281.2203,20.719100952148438,False,False,True,False,False,False,12,3,True,wwwowwoooooowqrqrr,435.69904,259.43393,60.8454,90.174255,281.2203,401.3382,427.147705078125,254.9475860595703,8.249566078186035,23.2665958404541,384.7618713378906,281.0103454589844,60.34736633300781,150.1860809326172,514.3056640625,245.82740783691406,19.656591415405273,24.004169464111328,294.5983,305.3159,116.40042,111.99452,227.5607452392578,74.20851135253906,431.3857116699219,0.25972676277160645,25.49399757385254,3.8035175800323486,0.24189279973506927,0.7962015867233276,16.758325576782227,1.822656512260437,37.162750244140625,1.4385331869125366,83.87677001953125,0.8888888888888888,0.041208911687135696,13,8131.396,132.54940795898438,50.36830139160156,35.879898,96.411865,2.714677095413208,0.4393385946750641,0.0001684927,57890_000485_Sideline_frame93_jpg.rf.5304e6b3337e541a865273464e924303.jpg,train,original_train,unknown
40,4,0,4,6,513.3499,0.0,False,False,False,False,False,False,13,13,True,wwrqqrqqrqrqww,261.46808,265.2659,130.06808,93.16907,513.3499,365.0127,0.0,0.0,0.0,0.0,291.53192138671875,310.06024169921875,233.76390075683594,133.62384033203125,242.21231079101562,243.98257446289062,47.86362838745117,71.60321044921875,305.78873,265.55106,118.9354,87.66049,412.6369934082031,99.0033950805664,549.6936645507812,4.21506404876709,82.2225341796875,0.0,0.0,4.723848819732666,36.90257263183594,0.6899883151054382,6.953010559082031,0.6181431412696838,74.12379455566406,0.0,0.0,12,8680.476,0.0,0.0,36.30542,121.76422,1.2619242668151855,0.9143807291984558,0.00013783856,Capture72_PNG_jpg.rf.4614a8ad4a918c4ce19c642784605d2b.jpg,train,original_train,unknown
40,4,0,3,2,236.92566,-29.8121337890625,False,False,False,False,False,False,13,4,True,rrqrwrqoowooowo,243.76494,272.29956,64.498474,82.40945,236.92566,395.44974,290.5609436035156,291.97027587890625,17.744041442871094,25.097415924072266,275.2782287597656,261.6599426269531,45.679718017578125,177.0338134765625,169.19483947753906,258.782470703125,52.1785774230957,4.597030162811279,388.2525,295.2088,100.193695,113.60098,276.64190673828125,60.785369873046875,410.6965026855469,1.8997156620025635,38.216285705566406,10.919512748718262,0.07685589045286179,53.84401321411133,86.26378631591797,54.24995803833008,122.16080474853516,3.0482711791992188,52.18985366821289,0.2857142857142857,0.03831797093153,9,6791.317,97.69155883789062,3.238525390625,29.039831,82.12503,0.5395582318305969,0.19439952075481415,0.00014277665,Capture16_PNG_jpg.rf.d82481f7cf8ca1be3e6266fdec05d493.jpg,train,original_train,unknown
20,2,0,6,1,110.973145,-24.396392822265625,False,False,True,True,True,True,15,5,True,wqrwowooooowrooww,204.26598,209.05734,29.376392,109.19104,110.973145,447.60013,213.53565979003906,210.76956176757812,6.318727970123291,28.362777709960938,206.9452667236328,239.2036590576172,37.12229537963867,167.08016967773438,184.82400512695312,123.13703155517578,31.300865173339844,63.23613739013672,254.35619,217.41063,41.269688,121.21468,229.28724670410156,21.25819206237793,452.10955810546875,0.608818531036377,70.97570037841797,3.0124294757843018,0.4082657992839813,78.52999114990234,78.52999114990234,0.07245773822069168,39.08854293823242,0.3429787755012512,23.513521194458008,1.0,0.03405672311782837,14,11922.684,40.820526123046875,6.6410675048828125,10.950196,43.366028,0.7926856875419617,0.1939258724451065,0.00034816633,57594_004453_Sideline_frame102_jpg.rf.5297d541b4604ffde617703e8c38fd4d.jpg,train,original_train,unknown
